id,Ranking,Drzava,Ime,Starost,Turnirji
242,242,FRA,Jonathan Eysseric,26,25
243,243,CRO,Kristijan Mesaros,28,26
244,244,CZE,Zdenek Kolar,20,28
245,245,USA,Brian Baker,31,20
246,246,TUR,Marsel Ilhan,29,24
247,247,FRA,Gregoire Barrere,22,25
248,248,AUT,Dennis Novak,23,27
249,249,ARG,Federico Coria,24,29
250,250,CAN,Denis Shapovalov,17,17
251,251,BEL,Yannick Mertens,29,30
252,252,USA,Austin Krajicek,26,28
253,253,ITA,Salvatore Caruso,24,24
254,254,BIH,Aldin Setkic,29,26
255,255,SLO,Blaz Rola,26,23
256,256,FRA,Alexandre Sidorenko,28,21
257,257,NED,Thiemo de Bakker,28,20
258,258,FRA,Maxime Janvier,20,25
259,259,FRA,Axel Michon,26,25
260,260,GER,Marc Sieber,28,26
261,261,CZE,Vaclav Safranek,22,29
262,262,USA,Sekou Bangoura,25,34
263,263,AUS,Luke Saville,23,24
264,264,BRA,Caio Zampieri,30,24
265,265,ITA,Andrea Arnaboldi,29,32
266,266,LTU,Laurynas Grigelis,25,23
267,267,FRA,Sadio Doumbia,26,21
268,268,ITA,Filippo Volandri,35,17
269,269,BEL,Maxime Authom,29,19
270,270,TPE,Ti Chen,33,33
271,271,GBR,Edward Corrie,28,24
272,272,GER,Yannick Maden,27,24
273,273,COL,Alejandro Falla,33,22
274,274,ESP,Pere Riba,28,17
275,275,ESP,Ricardo Ojeda Lara,23,30
276,276,GBR,Cameron Norrie,21,12
277,277,COL,Eduardo Struvay,26,20
278,278,BEL,Germain Gigounon,27,25
279,279,POL,Kamil Majchrzak,20,23
280,280,POL,Jerzy Janowicz,26,9
281,281,IRL,Sam Barry,24,29
282,282,USA,Tommy Paul,19,26
283,283,NED,Antal Van Der Duim,29,16
284,284,RSA,Lloyd Harris,19,22
285,285,CHN,Zhe Li,30,27
286,286,AUS,Blake Mott,20,22
287,287,CZE,Petr Michnev,27,24
288,288,AUT,Sebastian Ofner,20,31
289,289,ECU,Roberto Quiroz,24,27
290,290,FRA,Calvin Hemery,21,26
291,291,ITA,Gianluigi Quinzi,20,20
292,292,ESP,Jaume Munar,19,25
293,293,FRA,Edouard Roger-Vasselin,33,9
294,294,ECU,Emilio Gomez,25,24
295,295,RUS,Alexey Vatutin,24,27
296,296,BEL,Clement Geens,20,29
297,297,ROU,Dragos Dima,24,24
298,298,BLR,Egor Gerasimov,24,13
299,299,GER,Kevin Krawietz,24,18
300,300,AUT,Michael Linzer,27,28
301,301,FRA,Laurent Lokoli,22,22
302,302,ITA,Lorenzo Sonego,21,22
303,303,CHI,Nicolas Jarry,21,24
304,304,CZE,Marek Jaloviec,22,30
305,305,GBR,Liam Broady,22,30
